event_id,event_title,event_date,article_count,unique_outlet_count,outlets_covering,representative_headline,event_summary,cluster_confidence,is_low_quality_event
EVT_00473,"In Ayodhya, BJP mum on Ram Mandir row, says Yogi, Modi will ‘fix the rot’",2026-07-12,1,1,['indian_express'],"In Ayodhya, BJP mum on Ram Mandir row, says Yogi, Modi will ‘fix the rot’","In Ayodhya, BJP mum on Ram Mandir row, says Yogi, Modi will ‘fix the rot’
BJP leaders and workers in the temple town are keeping their distance, insisting it is a matter ""between the Ram Temple and the Trust"" and stressing that neither has any BJP representative.
At the BJP’s new office in Ayodhya’s...",1.0,False
EVT_00474,"As Ravneet Bittu targets Diljit Dosanjh, ‘Satluj’, BJP does a tightrope ahead of Punjab polls",2026-07-12,1,1,['indian_express'],"As Ravneet Bittu targets Diljit Dosanjh, ‘Satluj’, BJP does a tightrope ahead of Punjab polls","As Ravneet Bittu targets Diljit Dosanjh, ‘Satluj’, BJP does a tightrope ahead of Punjab polls
Invoking legacy of his grandfather late Beant Singh, Union minister Bittu defends anti-militancy campaign of 1990s, draws flak from BJP's rival parties
Ravneet Singh Bittu has often made waves in Punjab pol...",1.0,False
EVT_00475,"The hot winds sweeping across the ancient Kallanai, which should be brimming with water by now, are raising temperatures across the Cauvery delta this year. A weak southwest monsoon and the vexed inter-State river water sharing dispute with Karnataka...",2026-07-12,1,1,['the_hindu'],"The hot winds sweeping across the ancient Kallanai, which should be brimming with water by now, are raising temperatures across the Cauvery delta this year. A weak southwest monsoon and the vexed inter-State river water sharing dispute with Karnataka...","The hot winds sweeping across the ancient Kallanai, which should be brimming with water by now, are raising temperatures across the Cauvery delta this year. A weak southwest monsoon and the vexed inter-State river water sharing dispute with Karnataka have left farmers in the region in distress yet a...",1.0,False
EVT_00476,New Delhi: Ram Temple Construction Committee Chairman Nripendra Mishra on Sunday stated that the responsibilities and powers of the first-ever Chief Executive Officer (CEO) of the Ayodhya temple will be determined by the temple Trust.,2026-07-12,1,1,['theprint'],New Delhi: Ram Temple Construction Committee Chairman Nripendra Mishra on Sunday stated that the responsibilities and powers of the first-ever Chief Executive Officer (CEO) of the Ayodhya temple will be determined by the temple Trust.,"New Delhi: Ram Temple Construction Committee Chairman Nripendra Mishra on Sunday stated that the responsibilities and powers of the first-ever Chief Executive Officer (CEO) of the Ayodhya temple will be determined by the temple Trust.
The primary responsibility of the CEO will be to uphold the faith...",1.0,False
EVT_00477,"AIADMK’s ‘vanishing act’: As 10 MLAs look for crossover, Vijay nears a majority",2026-07-12,1,1,['indian_express'],"AIADMK’s ‘vanishing act’: As 10 MLAs look for crossover, Vijay nears a majority","AIADMK’s ‘vanishing act’: As 10 MLAs look for crossover, Vijay nears a majority
With AIADMK reduced to 41 MLAs following successive resignations and TVK steadily consolidating power, many legislators fear uncertain electoral prospects if they remain in a diminished AIADMK
What began inside the Chief...",1.0,False
EVT_00478,New Delhi: Jammu and Kashmir Chief Minister Omar Abdullah on Sunday announced a fresh phase of protests beginning July 20 against the Centre in Delhi over “unexplained delay” in restoring of statehood to the Union Territory.,2026-07-12,1,1,['theprint'],New Delhi: Jammu and Kashmir Chief Minister Omar Abdullah on Sunday announced a fresh phase of protests beginning July 20 against the Centre in Delhi over “unexplained delay” in restoring of statehood to the Union Territory.,"New Delhi: Jammu and Kashmir Chief Minister Omar Abdullah on Sunday announced a fresh phase of protests beginning July 20 against the Centre in Delhi over “unexplained delay” in restoring of statehood to the Union Territory.
Addressing a public rally here, Abdullah said his party waited for two year...",1.0,False
EVT_00479,Why BJP’s candidate switch in Nitin Nabin’s seat can give ammo to Prashant Kishor’s bid,2026-07-12,1,1,['indian_express'],Why BJP’s candidate switch in Nitin Nabin’s seat can give ammo to Prashant Kishor’s bid,"Why BJP’s candidate switch in Nitin Nabin’s seat can give ammo to Prashant Kishor’s bid
The BJP withdrew its original candidate Abhishek Kumar from Bankipur over his father's conviction in fodder scam, even as the bypoll turns into a triangular fight with RJD also hoping for its chances
The BJP’s de...",1.0,False
EVT_00480,"Kuki-Zo bodies turn to Mizoram for Naga talks, urge Centre to defuse Manipur crisis",2026-07-13,1,1,['indian_express'],"Kuki-Zo bodies turn to Mizoram for Naga talks, urge Centre to defuse Manipur crisis","Kuki-Zo bodies turn to Mizoram for Naga talks, urge Centre to defuse Manipur crisis
While Kuki-Zo Church reaches out to Naga Church for resolving Kuki-Naga dispute, Kuki bodies also submit a memorandum to Amit Shah to seek the Centre's role in resolution of Manipur's ethnic strife.
With efforts to s...",1.0,False
EVT_00481,‘This is against Congress rules’: Why Bihar Congress’s digital outreach sparks discontent,2026-07-13,1,1,['indian_express'],‘This is against Congress rules’: Why Bihar Congress’s digital outreach sparks discontent,"‘This is against Congress rules’: Why Bihar Congress’s digital outreach sparks discontent
Several Bihar Congress leaders slam its Srijan Saathi campaign for “selling” posts by asking party aspirants to enrol members for Rs 50 fee; state party chief Rajesh Ram calls it “AICC-approved organisational r...",1.0,False
EVT_00482,"New Delhi: Former Madhya Pradesh Home Minister Narottam Mishra, a hardcore ‘Hindutva leader’ and once considered the de facto number 2 in the Shivraj Singh Chouhan government, got emotional—almost moved to tears—as he vowed his unyielding loyalty to ...",2026-07-13,1,1,['theprint'],"New Delhi: Former Madhya Pradesh Home Minister Narottam Mishra, a hardcore ‘Hindutva leader’ and once considered the de facto number 2 in the Shivraj Singh Chouhan government, got emotional—almost moved to tears—as he vowed his unyielding loyalty to ...","New Delhi: Former Madhya Pradesh Home Minister Narottam Mishra, a hardcore ‘Hindutva leader’ and once considered the de facto number 2 in the Shivraj Singh Chouhan government, got emotional—almost moved to tears—as he vowed his unyielding loyalty to the BJP, and commitment to its cause.
“I will bow ...",1.0,False
EVT_00483,"Bengaluru: Bhanu Prakash Reddy, a member of the Tirumala Tirupati Devasthanams (TTD) which oversees the affairs of the Tirupati temple, has opposed Karnataka Chief Minister D.K. Shivakumar’s proposal to change existing protocols for the ‘Nithya Aarth...",2026-07-13,1,1,['theprint'],"Bengaluru: Bhanu Prakash Reddy, a member of the Tirumala Tirupati Devasthanams (TTD) which oversees the affairs of the Tirupati temple, has opposed Karnataka Chief Minister D.K. Shivakumar’s proposal to change existing protocols for the ‘Nithya Aarth...","Bengaluru: Bhanu Prakash Reddy, a member of the Tirumala Tirupati Devasthanams (TTD) which oversees the affairs of the Tirupati temple, has opposed Karnataka Chief Minister D.K. Shivakumar’s proposal to change existing protocols for the ‘Nithya Aarthi’ or daily lamp-offering, potentially turning one...",1.0,False
EVT_00484,"A 35-year old judicial remand prisoner from Ethankadu died in the district jail at Nagercoil on Monday (July 13, 2026).",2026-07-13,1,1,['the_hindu'],"A 35-year old judicial remand prisoner from Ethankadu died in the district jail at Nagercoil on Monday (July 13, 2026).","A 35-year old judicial remand prisoner from Ethankadu died in the district jail at Nagercoil on Monday (July 13, 2026).
According to police, S. Sabari Varman, who ran a petty shop adjacent to his residence, was arrested on July 9 in connection with sale of banned tobacco products. A case was registe...",1.0,False
EVT_00485,"There is no dearth of urea or other chemical fertilisers in the district, and those who spread rumours about the shortage will face strict action, said NTR District Collector G. Lakshmisha.",2026-07-13,1,1,['the_hindu'],"There is no dearth of urea or other chemical fertilisers in the district, and those who spread rumours about the shortage will face strict action, said NTR District Collector G. Lakshmisha.","There is no dearth of urea or other chemical fertilisers in the district, and those who spread rumours about the shortage will face strict action, said NTR District Collector G. Lakshmisha.
Addressing the media at the Collectorate in Vijayawada on Monday (July 13, 2026), the Collector said there is ...",1.0,False
EVT_00486,BJP sources said the new constitutional amendment Bill will be brought in Parliament during the upcoming session only after ensuring that the government has a two-thirds majority for its passage.,2026-07-13,1,1,['indian_express'],BJP sources said the new constitutional amendment Bill will be brought in Parliament during the upcoming session only after ensuring that the government has a two-thirds majority for its passage.,"BJP sources said the new constitutional amendment Bill will be brought in Parliament during the upcoming session only after ensuring that the government has a two-thirds majority for its passage.
With 20 rebel Trinamool Congress (TMC) Lok Sabha members pledging their support to the NDA and six Shiv ...",1.0,False
EVT_00487,NCP rift spills into open as Sunetra Pawar’s election faces legal challenge,2026-07-13,1,1,['indian_express'],NCP rift spills into open as Sunetra Pawar’s election faces legal challenge,"NCP rift spills into open as Sunetra Pawar’s election faces legal challenge
A senior office-bearer has questioned the legitimacy of Sunetra Pawar's election, even as Praful Patel calls for ""corrective measures"" in the party after Ajit Pawar's death.
The simmering discontent within the Nationalist Co...",1.0,False
EVT_00488,BJP Sikh leaders weigh in to support Satluj: ‘Can’t suppress past’,2026-07-14,1,1,['indian_express'],BJP Sikh leaders weigh in to support Satluj: ‘Can’t suppress past’,"BJP Sikh leaders weigh in to support Satluj: ‘Can’t suppress past’
Union MoS Ravneet Singh Bittu’s attacks on the biopic on activist Jaswant Singh Khalra do not go down well with leaders, tell him to avoid “unnecessary remarks”, rule out fears of film inciting communal discord
The BJP’s efforts to k...",1.0,False
EVT_00489,"The Ladakh administration’s decision to create Autonomous Hill Development Councils (AHDCs) in each of the Union Territory’s seven districts is likely to face stiff opposition from civil society groups, with both the Apex Body, Leh (ABL) and the Karg...",2026-07-14,1,1,['indian_express'],"The Ladakh administration’s decision to create Autonomous Hill Development Councils (AHDCs) in each of the Union Territory’s seven districts is likely to face stiff opposition from civil society groups, with both the Apex Body, Leh (ABL) and the Karg...","- Tags:
- Kargil
- Ladakh
- Union Territory
The Ladakh administration’s decision to create Autonomous Hill Development Councils (AHDCs) in each of the Union Territory’s seven districts is likely to face stiff opposition from civil society groups, with both the Apex Body, Leh (ABL) and the Kargil Dem...",1.0,False
EVT_00490,"The police on Tuesday (July 14, 2026) arrested the chief warder and two warders of the Nagercoil jail after a remand prisoner died there under suspicious circumstances on July 13.",2026-07-14,1,1,['the_hindu'],"The police on Tuesday (July 14, 2026) arrested the chief warder and two warders of the Nagercoil jail after a remand prisoner died there under suspicious circumstances on July 13.","The police on Tuesday (July 14, 2026) arrested the chief warder and two warders of the Nagercoil jail after a remand prisoner died there under suspicious circumstances on July 13.
Sabari Varman, 34, a differently-abled resident of Eeththankaadu near Suchindram, was arrested on July 9 for allegedly p...",1.0,False
EVT_00491,"NEW DELHI: Congress on Wednesday indicated it was not in favour of leadership change in the Punjab unit, rebuffing a section of functionaries who have demanded that Amarinder Raja Warring be removed from the post of state president.",2026-07-16,1,1,['the_times_of_india'],"NEW DELHI: Congress on Wednesday indicated it was not in favour of leadership change in the Punjab unit, rebuffing a section of functionaries who have demanded that Amarinder Raja Warring be removed from the post of state president.","NEW DELHI: Congress on Wednesday indicated it was not in favour of leadership change in the Punjab unit, rebuffing a section of functionaries who have demanded that Amarinder Raja Warring be removed from the post of state president.
AICC Punjab in charge Bhupesh Baghel, responding to queries about c...",1.0,False
EVT_00492,"<p>New Delhi: The comprehensive economic and trade agreement (CETA) that was signed between India and the <a href=""https://www.deccanherald.com/tags/uk"">UK</a> on July 25, 2025, after several rounds of negotiations, will come into force from July 15,...",2026-07-14,1,1,['deccan_herald'],"<p>New Delhi: The comprehensive economic and trade agreement (CETA) that was signed between India and the <a href=""https://www.deccanherald.com/tags/uk"">UK</a> on July 25, 2025, after several rounds of negotiations, will come into force from July 15,...","<p>New Delhi: The comprehensive economic and trade agreement (CETA) that was signed between India and the <a href=""https://www.deccanherald.com/tags/uk"">UK</a> on July 25, 2025, after several rounds of negotiations, will come into force from July 15, 2026.</p>.<p>This will be the sixth free trade ag...",1.0,False
EVT_00494,Why Taslima Nasreen is returning to Kolkata nearly 20 years after she left,2026-07-14,1,1,['indian_express'],Why Taslima Nasreen is returning to Kolkata nearly 20 years after she left,"Why Taslima Nasreen is returning to Kolkata nearly 20 years after she left
In November 2007, protests against her book Dwikhondito (Split: A Life) forced the exiled Bangladeshi author to move out of the city.
Almost two decades after she was forced to leave Kolkata following protests against her wri...",1.0,False
EVT_00495,"The Supreme Court on Tuesday (July 14, 2026) questioned the categorising of English as a “non-native language” by the Central Board of Secondary Education (CBSE) in the three-language scheme, teaming the tongue spoken in India for over 300 years and ...",2026-07-14,1,1,['the_hindu'],"The Supreme Court on Tuesday (July 14, 2026) questioned the categorising of English as a “non-native language” by the Central Board of Secondary Education (CBSE) in the three-language scheme, teaming the tongue spoken in India for over 300 years and ...","The Supreme Court on Tuesday (July 14, 2026) questioned the categorising of English as a “non-native language” by the Central Board of Secondary Education (CBSE) in the three-language scheme, teaming the tongue spoken in India for over 300 years and used for official communication in at least five S...",1.0,False
EVT_00497,"Chandigarh: Days after the Honey Trehan film Satluj triggered a nationwide debate on the legacy of Punjab’s militancy years, Union Minister of State for Railways and Food Processing Industries and Rajya Sabha member Ravneet Singh Bittu has mounted an...",2026-07-14,1,1,['theprint'],"Chandigarh: Days after the Honey Trehan film Satluj triggered a nationwide debate on the legacy of Punjab’s militancy years, Union Minister of State for Railways and Food Processing Industries and Rajya Sabha member Ravneet Singh Bittu has mounted an...","Chandigarh: Days after the Honey Trehan film Satluj triggered a nationwide debate on the legacy of Punjab’s militancy years, Union Minister of State for Railways and Food Processing Industries and Rajya Sabha member Ravneet Singh Bittu has mounted an aggressive campaign to shape a counter-narrative....",1.0,False
EVT_00498,"Thiruvananthapuram: In an unprecedented move, Bharatiya Janata Party (BJP) councillor R. Sugathan from Vazhottukonam retook his oath Tuesday inside the Viyyur Central Prison in Thrissur.",2026-07-14,1,1,['theprint'],"Thiruvananthapuram: In an unprecedented move, Bharatiya Janata Party (BJP) councillor R. Sugathan from Vazhottukonam retook his oath Tuesday inside the Viyyur Central Prison in Thrissur.","Thiruvananthapuram: In an unprecedented move, Bharatiya Janata Party (BJP) councillor R. Sugathan from Vazhottukonam retook his oath Tuesday inside the Viyyur Central Prison in Thrissur.
This was after the Kerala High Court allowed the ceremony to be conducted in jail helping the party prevent an im...",1.0,False
EVT_00499,CPM leader arrested in Baruipur mob violence case: Who is Md Lahek Ali?,2026-07-14,1,1,['indian_express'],CPM leader arrested in Baruipur mob violence case: Who is Md Lahek Ali?,"CPM leader arrested in Baruipur mob violence case: Who is Md Lahek Ali?
Starting out as a member of the party’s youth wing, DYFI, Ali rose up the ranks and was inducted into the district committee last year. He has contested the Assembly polls twice.
The West Bengal Police on Sunday night arrested 4...",1.0,False
EVT_00501,"NEW DELHI: The Supreme Court on Tuesday pulled up comedian Samay Raina and YouTubers Ranveer Allahbadia and Ashish Chanchlani for failing to comply with its earlier directions, observing that they are self-styled youth icons.",2026-07-14,1,1,['the_times_of_india'],"NEW DELHI: The Supreme Court on Tuesday pulled up comedian Samay Raina and YouTubers Ranveer Allahbadia and Ashish Chanchlani for failing to comply with its earlier directions, observing that they are self-styled youth icons.","NEW DELHI: The Supreme Court on Tuesday pulled up comedian Samay Raina and YouTubers Ranveer Allahbadia and Ashish Chanchlani for failing to comply with its earlier directions, observing that they are self-styled youth icons.
A bench comprising Chief Justice Surya Kant and Justices Joymalya Bagchi a...",1.0,False
EVT_00502,NEW DELHI: A Delhi court on Wednesday allowed activist Umar Khalid's plea seeking restoration of two video meetings with his family every week in jail. The court observed that Khalid had been using the facility for the past six years without violatin...,2026-07-15,1,1,['the_times_of_india'],NEW DELHI: A Delhi court on Wednesday allowed activist Umar Khalid's plea seeking restoration of two video meetings with his family every week in jail. The court observed that Khalid had been using the facility for the past six years without violatin...,"NEW DELHI: A Delhi court on Wednesday allowed activist Umar Khalid's plea seeking restoration of two video meetings with his family every week in jail. The court observed that Khalid had been using the facility for the past six years without violating any jail rules.
The order comes after jail autho...",1.0,False
EVT_00505,NEW DELHI: In a setback to Jan Suraaj founder,2026-07-15,1,1,['the_times_of_india'],NEW DELHI: In a setback to Jan Suraaj founder,"NEW DELHI: In a setback to Jan Suraaj founder 
Prashant Kishor ahead of the Bankipur Assembly bypoll, several party leaders, including candidates who contested the 2025 Bihar assembly elections on the party's ticket, joined the Bharatiya Janata Party (
BJP) on Wednesday.
The leaders who joined the B...",1.0,False
EVT_00507,"BKTC's Sohan Singh Rangar said no irregularity was found on Mehta’s part, but he was replaced because of “certain deficiencies” in the donation weighing process",2026-07-15,1,1,['hindustan_times'],"BKTC's Sohan Singh Rangar said no irregularity was found on Mehta’s part, but he was replaced because of “certain deficiencies” in the donation weighing process","BKTC's Sohan Singh Rangar said no irregularity was found on Mehta’s part, but he was replaced because of “certain deficiencies” in the donation weighing process
Dehradun: The treasurer incharge of Badrinath temple donation counting centre Sandish Mehta was shifted out on Wednesday as the special inv...",1.0,False
EVT_00508,"Relying entirely on traditional wisdom and natural resources, screwpine artisans possess a level of skill that modern machinery simply cannot replicate. They transform simple leaves into green, sustainable thazhappas (mats) — a craft that was once a ...",2026-07-15,1,1,['the_hindu'],"Relying entirely on traditional wisdom and natural resources, screwpine artisans possess a level of skill that modern machinery simply cannot replicate. They transform simple leaves into green, sustainable thazhappas (mats) — a craft that was once a ...","Relying entirely on traditional wisdom and natural resources, screwpine artisans possess a level of skill that modern machinery simply cannot replicate. They transform simple leaves into green, sustainable thazhappas (mats) — a craft that was once a thriving cottage industry in Thazhava but has slow...",1.0,False
EVT_00509,"6 min readMumbaiUpdated: Jul 16, 2026 05:30 AM IST",2026-07-15,1,1,['indian_express'],"6 min readMumbaiUpdated: Jul 16, 2026 05:30 AM IST","													6 min readMumbaiUpdated: Jul 16, 2026 05:30 AM IST
												 
												Signalling another break in the Opposition ranks ahead of the Monsoon Session of Parliament, the Sharad Pawar-led NCP(SP)’s working president and MP Supriya Sule on Wednesday said her party would consider suppo...",1.0,False
EVT_00511,"Mamata loyalist MLA Madan Mitra joins TMC rebel camp, says no link to ED summons",2026-07-15,1,1,['hindustan_times'],"Mamata loyalist MLA Madan Mitra joins TMC rebel camp, says no link to ED summons","Mamata loyalist MLA Madan Mitra joins TMC rebel camp, says no link to ED summons
Madan Mitra left the Mamata-led TMC a day after ED summoned his wife and two sons for questioning in connection with recruitment by the Kamarhati municipality
Trinamool Congress chairperson Mamata Banerjee’s close aide,...",1.0,False
EVT_00512,"‘If someone seeks bribe, tell them...’: Vijay's remarks on corruption go viral",2026-07-15,1,1,['hindustan_times'],"‘If someone seeks bribe, tell them...’: Vijay's remarks on corruption go viral","‘If someone seeks bribe, tell them...’: Vijay's remarks on corruption go viral
Reassuring the public, CM Vijay said he stood with them and asked them to firmly say ""no"" when asked for a bribe.
Tamil Nadu chief minister C Joseph Vijay recently took a stern stand against corruption, saying that in his...",1.0,False
EVT_00513,Mother of 9 kills husband with axe in his sleep over suspicion of affair in Madhya Pradesh,2026-07-15,1,1,['hindustan_times'],Mother of 9 kills husband with axe in his sleep over suspicion of affair in Madhya Pradesh,"Mother of 9 kills husband with axe in his sleep over suspicion of affair in Madhya Pradesh
The woman, Rumli Bai Dudwe (35), who allegedly killed her husband with an axe while he was asleep, has been arrested and sent to judicial custody by local court
A 35-year-old woman with nine children allegedly...",1.0,False
EVT_00514,2 property dealers arrested in MP’s Aishbagh double murder case: Police,2026-07-15,1,1,['hindustan_times'],2 property dealers arrested in MP’s Aishbagh double murder case: Police,"2 property dealers arrested in MP’s Aishbagh double murder case: Police
CCTV footage had earlier captured two suspects in raincoats, prompting police to announce a reward of ₹50,000 for information
Two property brokers have been arrested for allegedly murdering an elderly couple after fraudulently t...",1.0,False
EVT_00515,"The India-U.K. Double Contributions Convention (DCC), allowing temporary Indian and British workers an exemption from paying social security contributions in their host countries for 60 months, is not retrospective, i.e., it will not apply to Indians...",2026-07-15,1,1,['the_hindu'],"The India-U.K. Double Contributions Convention (DCC), allowing temporary Indian and British workers an exemption from paying social security contributions in their host countries for 60 months, is not retrospective, i.e., it will not apply to Indians...","The India-U.K. Double Contributions Convention (DCC), allowing temporary Indian and British workers an exemption from paying social security contributions in their host countries for 60 months, is not retrospective, i.e., it will not apply to Indians already working in the U.K. and Britons working i...",1.0,False
EVT_00517,"'Flying buses soon': Nitin Gadkari has another big plan, cites 'plane that lands on water'",2026-07-15,1,1,['hindustan_times'],"'Flying buses soon': Nitin Gadkari has another big plan, cites 'plane that lands on water'","'Flying buses soon': Nitin Gadkari has another big plan, cites 'plane that lands on water'
Speaking at the inauguration of the Lucknow-Kanpur Expressway on Tuesday, Gadkari announced plans to introduce ""flying buses"".
Even as Nitin Gadkari finds himself at the centre of the debate over ethanol-blend...",1.0,False
EVT_00518,"Vrishali Joshi, national organising secretary of Vishwa Mangalya Sabha, on Wednesday announced that the organisation will hold its two-day ""Prabodhan"" (awareness) meeting for North India in Delhi on July 23 and 24.",2026-07-15,1,1,['the_times_of_india'],"Vrishali Joshi, national organising secretary of Vishwa Mangalya Sabha, on Wednesday announced that the organisation will hold its two-day ""Prabodhan"" (awareness) meeting for North India in Delhi on July 23 and 24.","Vrishali Joshi, national organising secretary of Vishwa Mangalya Sabha, on Wednesday announced that the organisation will hold its two-day ""Prabodhan"" (awareness) meeting for North India in Delhi on July 23 and 24.
A similar meeting for South India will be held in Hyderabad.
Joshi clarified that Vis...",1.0,False
EVT_00519,Indian-origin teen Riddhi Chauhan leads 300 cadets in US Navy-backed school programme,2026-07-15,1,1,['hindustan_times'],Indian-origin teen Riddhi Chauhan leads 300 cadets in US Navy-backed school programme,"Indian-origin teen Riddhi Chauhan leads 300 cadets in US Navy-backed school programme
Riddhi is preparing to enter the Naval Academy Preparatory School, a stepping stone to the United States Naval Academy.
A 17-year-old Indian-origin girl is leading nearly 300 cadets in her school's Navy Junior Rese...",1.0,False
EVT_00520,"NEW DELHI: Ahead of the Monsoon session of Parliament, the Lok Sabha secretariat has issued a fresh advisory asking Members of Parliament to refrain from protests, demonstrations and the display of placards inside the Parliament House complex, while ...",2026-07-15,1,1,['the_times_of_india'],"NEW DELHI: Ahead of the Monsoon session of Parliament, the Lok Sabha secretariat has issued a fresh advisory asking Members of Parliament to refrain from protests, demonstrations and the display of placards inside the Parliament House complex, while ...","NEW DELHI: Ahead of the Monsoon session of Parliament, the Lok Sabha secretariat has issued a fresh advisory asking Members of Parliament to refrain from protests, demonstrations and the display of placards inside the Parliament House complex, while also cautioning against carrying items such as fir...",1.0,False
EVT_00521,"Farmers need to adopt alternative and resilient farming methods to effectively counter the adverse impacts of shifting climate patterns and phenomena such as El Niño, Wayanad district panchayat president T. Chandrika Krishnan has said.",2026-07-15,1,1,['the_hindu'],"Farmers need to adopt alternative and resilient farming methods to effectively counter the adverse impacts of shifting climate patterns and phenomena such as El Niño, Wayanad district panchayat president T. Chandrika Krishnan has said.","Farmers need to adopt alternative and resilient farming methods to effectively counter the adverse impacts of shifting climate patterns and phenomena such as El Niño, Wayanad district panchayat president T. Chandrika Krishnan has said.
She was speaking during a training session on production and pro...",1.0,False
EVT_00523,NEW DELHI: The Union Cabinet on Wednesday approved two major elevated road projects in Varanasi — Ganga Corridor and Varuna Corridor — aimed at easing traffic congestion in the holy city and providing high speed connectivity from two national highway...,2026-07-15,1,1,['the_times_of_india'],NEW DELHI: The Union Cabinet on Wednesday approved two major elevated road projects in Varanasi — Ganga Corridor and Varuna Corridor — aimed at easing traffic congestion in the holy city and providing high speed connectivity from two national highway...,NEW DELHI: The Union Cabinet on Wednesday approved two major elevated road projects in Varanasi — Ganga Corridor and Varuna Corridor — aimed at easing traffic congestion in the holy city and providing high speed connectivity from two national highways and the Ring Road. The two roads to be built wit...,1.0,False
EVT_00524,Delhi HC to hear plea seeking directions to hospitalise Sonam Wangchuk tomorrow,2026-07-15,1,1,['hindustan_times'],Delhi HC to hear plea seeking directions to hospitalise Sonam Wangchuk tomorrow,"Delhi HC to hear plea seeking directions to hospitalise Sonam Wangchuk tomorrow
The petition sought directions to hospitalise activist Sonam Wangchuk, who has been on a hunger strike for 17 days, and force-feed him
The Delhi high court on Wednesday listed a petition seeking directions to hospitalise...",1.0,False
EVT_00525,CCTV shows Badrinath donation theft accused stealing cash on 4 occasions: Cop,2026-07-15,1,1,['hindustan_times'],CCTV shows Badrinath donation theft accused stealing cash on 4 occasions: Cop,"CCTV shows Badrinath donation theft accused stealing cash on 4 occasions: Cop
Police said 34 rounds of donation counting have been conducted at the Badrinath temple since its opening for the current pilgrimage season
A special investigation team (SIT) of the Chamoli police found that Pramod Nautiyal...",1.0,False
EVT_00526,‘Not a child’s play’: Bhupesh Baghel hands Punjab Cong leadership report to top brass,2026-07-15,1,1,['hindustan_times'],‘Not a child’s play’: Bhupesh Baghel hands Punjab Cong leadership report to top brass,"‘Not a child’s play’: Bhupesh Baghel hands Punjab Cong leadership report to top brass
The Congress’ Punjab unit remains divided, with former CM Channi keen to head the party while the party leadership favours Amarinder Singh Raja Warring
Amid continued infighting in the Punjab Congress, the party’s ...",1.0,False
EVT_00527,NEW DELHI: The Centre is considering making certification by the,2026-07-15,1,1,['the_times_of_india'],NEW DELHI: The Centre is considering making certification by the,"NEW DELHI: The Centre is considering making certification by the 
Central Board of Film Certification (CBFC) mandatory for films released on OTT platforms, sources said on Wednesday.
The move would require amendments to the Information Technology (Intermediary Guidelines and Digital Media Ethics Cod...",1.0,False
EVT_00528,"'Force feed Sonam Wangchuk': Plea in Delhi HC seeks liquid diet, hospitalisation for climate activist on hunger strike",2026-07-15,1,1,['hindustan_times'],"'Force feed Sonam Wangchuk': Plea in Delhi HC seeks liquid diet, hospitalisation for climate activist on hunger strike","'Force feed Sonam Wangchuk': Plea in Delhi HC seeks liquid diet, hospitalisation for climate activist on hunger strike
Filed by advocate Rakesh Kumar Saini, the plea urges the Centre and the Delhi government to immediately shift Wangchuk to a government hospital.
A public interest litigation (PIL) h...",1.0,False
EVT_00529,"Anuja Jaiswal is a Senior Assistant Editor at The Times of India, with an impressive 18-year career in narrative journalism. She specializes in health and heritage reporting, expertly simplifying complex health information to make it engaging and und...",2026-07-15,1,1,['the_times_of_india'],"Anuja Jaiswal is a Senior Assistant Editor at The Times of India, with an impressive 18-year career in narrative journalism. She specializes in health and heritage reporting, expertly simplifying complex health information to make it engaging and und...","Anuja Jaiswal is a Senior Assistant Editor at The Times of India, with an impressive 18-year career in narrative journalism. She specializes in health and heritage reporting, expertly simplifying complex health information to make it engaging and understandable for readers. Her deep dives into herit...",1.0,False
EVT_00530,Meghalaya is taking its premium Pineapples to Indian markets with new retail partnerships,2026-07-15,1,1,['hindustan_times'],Meghalaya is taking its premium Pineapples to Indian markets with new retail partnerships,"Meghalaya is taking its premium Pineapples to Indian markets with new retail partnerships
The Meghalaya Pineapple Festival focuses on enhancing market access for pineapple growers through partnerships with retailers and digital marketplaces.
The fourth edition of the Meghalaya Pineapple Festival was...",1.0,False
EVT_00531,"It was supposed to be a two-day hospital stay and at the end of it, a baby in their arms.",2026-07-15,1,1,['the_hindu'],"It was supposed to be a two-day hospital stay and at the end of it, a baby in their arms.","It was supposed to be a two-day hospital stay and at the end of it, a baby in their arms.
However, for five women at Kota's New Medical College Hospital (NMCH), it has turned into a harrowing tale of misery and financial ruin and endless rounds of dialysis as they continue to battle kidney infection...",1.0,False
EVT_00532,"Bhagwant Mann said Bharat Tex 2026 offers immense opportunities for Punjab's textile industry, expressing hope that the international event will further strengthen the sector in the state.",2026-07-15,1,1,['the_times_of_india'],"Bhagwant Mann said Bharat Tex 2026 offers immense opportunities for Punjab's textile industry, expressing hope that the international event will further strengthen the sector in the state.","Punjab chief minister 
Bhagwant Mann said Bharat Tex 2026 offers immense opportunities for Punjab's textile industry, expressing hope that the international event will further strengthen the sector in the state.
Speaking to on Tuesday at Bharat Mandapam in New Delhi, Mann said Punjab is playing a si...",1.0,False
EVT_00533,NEW DELHI: Madhya Pradesh chief minister Mohan Yadav on Wednesday strongly backed the implementation of a,2026-07-15,1,1,['the_times_of_india'],NEW DELHI: Madhya Pradesh chief minister Mohan Yadav on Wednesday strongly backed the implementation of a,"NEW DELHI: Madhya Pradesh chief minister Mohan Yadav on Wednesday strongly backed the implementation of a 
Uniform Civil Code (UCC), saying there should not be different personal laws for people of different religions and that everyone should be treated equally under the law.
Addressing the inaugura...",1.0,False
